customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00000,Male,0,Yes,No,1,Yes,No,Fiber optic,Yes,No internet service,No internet service,No internet service,No,No internet service,One year,No,Credit card,36.11,2786.12,No
CUST00001,Female,1,No,No,3,Yes,No,DSL,Yes,No,Yes,No internet service,Yes,No internet service,One year,No,Mailed check,68.84,153.39,No
CUST00002,Male,0,No,Yes,44,Yes,No phone service,Fiber optic,Yes,Yes,Yes,No internet service,Yes,No internet service,One year,Yes,Credit card,53.88,2461.06,No
CUST00003,Male,1,No,No,12,No,No phone service,No,Yes,No internet service,No internet service,No,No,Yes,Month-to-month,Yes,Electronic check,110.0,8797.78,No
CUST00004,Male,1,Yes,Yes,54,Yes,No,DSL,No internet service,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card,26.43,4093.59,Yes
CUST00005,Female,0,No,No,31,No,No,No,No,No internet service,No internet service,No,No internet service,No internet service,One year,No,Credit card,87.0,8546.72,No
CUST00006,Male,1,No,No,21,Yes,No,No,No internet service,No,Yes,Yes,Yes,No internet service,One year,Yes,Mailed check,92.19,7241.44,Yes
CUST00007,Male,1,Yes,No,54,Yes,Yes,Fiber optic,No,Yes,No internet service,No internet service,No,No,Two year,Yes,Electronic check,80.89,2374.6,Yes
CUST00008,Male,0,Yes,Yes,16,No,No,No,No internet service,Yes,No,Yes,No internet service,No,One year,No,Electronic check,72.18,8431.91,No
CUST00009,Female,0,Yes,Yes,69,No,Yes,DSL,No,No internet service,No,No internet service,Yes,No,One year,No,Mailed check,31.53,2714.81,No
CUST00010,Male,0,Yes,No,50,No,No,DSL,No internet service,Yes,No,No internet service,No,No,Two year,Yes,Mailed check,80.82,3120.74,No
CUST00011,Male,0,No,No,7,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No,One year,Yes,Mailed check,76.66,2744.18,No
CUST00012,Male,1,Yes,Yes,60,No,No,Fiber optic,No internet service,Yes,Yes,No internet service,No,No internet service,Month-to-month,Yes,Electronic check,111.28,3991.58,Yes
CUST00013,Male,0,No,Yes,9,Yes,Yes,DSL,No,Yes,Yes,No,No,No internet service,Month-to-month,No,Electronic check,107.22,681.35,Yes
CUST00014,Female,0,Yes,Yes,18,No,No,Fiber optic,Yes,No internet service,Yes,Yes,No,No,One year,No,Credit card,22.05,7350.65,No
CUST00015,Male,0,Yes,No,13,Yes,Yes,No,No,Yes,Yes,No,No internet service,Yes,Two year,Yes,Credit card,118.46,755.68,No
CUST00016,Female,0,No,Yes,66,No,No,DSL,No,Yes,No,No internet service,No internet service,Yes,Two year,No,Mailed check,76.54,4317.65,No
CUST00017,Female,0,No,Yes,54,No,Yes,Fiber optic,No internet service,No,No,Yes,No internet service,No,Month-to-month,No,Credit card,111.6,643.92,No
CUST00018,Female,1,No,Yes,60,No,Yes,DSL,Yes,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card,34.92,5899.93,Yes
CUST00019,Male,0,Yes,Yes,55,No,No,No,No internet service,No,Yes,Yes,No internet service,No internet service,Two year,No,Bank transfer,89.64,4062.87,No
CUST00020,Female,1,Yes,Yes,62,Yes,No,Fiber optic,No,Yes,No internet service,No,Yes,No,One year,No,Credit card,65.84,30.17,No
CUST00021,Male,0,No,Yes,10,Yes,No phone service,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Bank transfer,33.41,3892.4,No
CUST00022,Female,0,No,Yes,46,Yes,No phone service,No,No,No,Yes,Yes,No,Yes,One year,Yes,Bank transfer,22.27,3286.0,No
CUST00023,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,No,Yes,Yes,Yes,No internet service,No,One year,Yes,Electronic check,41.63,8228.91,Yes
CUST00024,Female,0,No,Yes,33,No,Yes,DSL,No internet service,Yes,Yes,Yes,No,No internet service,Two year,No,Credit card,21.67,5398.84,No
CUST00025,Female,0,No,No,64,No,Yes,No,Yes,No internet service,Yes,No internet service,No,No,Two year,Yes,Credit card,79.78,7448.12,Yes
CUST00026,Female,0,Yes,No,63,Yes,No phone service,No,No,No internet service,Yes,Yes,No internet service,No internet service,Two year,No,Electronic check,50.49,1318.95,No
CUST00027,Female,0,No,Yes,65,Yes,No phone service,No,No internet service,Yes,No,No internet service,No,Yes,One year,Yes,Bank transfer,115.37,1154.74,No
